,Date,USD,EUR,BRL,CAD,HKD,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,RUB,HRK,JPY,THB,CHF,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,MXN,SGD,AUD,ILS,KRW,PLN,ISK
2343,2019-02-26,1.0,0.8802042074,3.7473813925,1.3224188012,7.8494850805,52.0587976411,6.5677317138,279.0775459907,22.5886805739,0.7574597307,4.192060558,9.3176656984,14011.0025525922,71.167150779,65.6771410967,6.5377167503,110.8441158349,31.3203063111,1.0008802042,4.06275856,1.7215033888,5.3035824311,6.6963295485,8.6017956166,1.4540973506,13.8649766746,19.1131942611,1.3495290907,1.3992606285,3.6218642725,1117.8593433677,3.8096998504,119.7957926239
2344,2019-02-27,1.0,0.8782715616,3.7282627789,1.3140699104,7.8496399087,51.8013349728,6.552871948,277.8763393641,22.5373265414,0.7509485333,4.161953276,9.2607588266,14024.0031617776,71.2792025294,65.7464430002,6.5242402951,110.5743896013,31.390303882,0.997189531,4.0678025646,1.7177235201,5.2922009485,6.6812752503,8.5300368874,1.4562620762,13.8624626735,19.1594941156,1.3477955384,1.3972422273,3.6177762164,1118.4524855085,3.7893904795,119.5327595292
2345,2019-02-28,1.0,0.8759635599,3.7393132446,1.3176243868,7.8497722495,51.6809740715,6.5356517169,276.769446391,22.4255430974,0.7518833217,4.1550455501,9.1839523476,14076.4978976875,70.8580063069,65.7750525578,6.5062193413,110.7568325158,31.5197967765,0.9929046952,4.0685003504,1.7132095305,5.3152592852,6.6843903294,8.5203223546,1.4615451997,13.9697792572,19.1899964961,1.3481079187,1.4004905396,3.6078311142,1122.1706377015,3.7744393833,118.8682550806
2346,2019-03-01,1.0,0.8785030308,3.7808134938,1.3152068875,7.8488974787,51.8193797769,6.554774664,277.6596679259,22.5213036985,0.7552314855,4.1668277256,9.2245453747,14114.9081964333,70.8908020733,65.8814020908,6.5290345252,111.8773609769,31.7253799526,0.9982429939,4.0739699552,1.7181762277,5.3790740578,6.705789335,8.5450232803,1.4632346482,14.1813230256,19.3217956602,1.3525432663,1.4056048493,3.6309408767,1126.3463058948,3.7859966617,119.3885618905
2347,2019-03-04,1.0,0.8820675664,3.7747199435,1.3312163712,7.8491664461,51.800299903,6.5816353533,278.5922201641,22.5994531181,0.7565934551,4.1820587457,9.3096057158,14129.9991179324,70.8855958366,65.7524036341,6.5559671871,111.9431948487,31.8796859839,1.0013231013,4.0755049837,1.7251477463,5.3826409103,6.7023904031,8.6118902708,1.4695245656,14.242127547,19.3502690306,1.3549439887,1.4104260386,3.6254741113,1126.1180206404,3.7919202611,120.1376025404
2348,2019-03-05,1.0,0.8826904405,3.775531821,1.3342748698,7.849677818,52.3656103804,6.5861064525,278.5859299144,22.617177156,0.7622738106,4.1918086327,9.3144143349,14129.4995145203,70.5587430488,65.7629093477,6.5520346015,111.9251478506,31.7900962133,1.0010592285,4.0737929208,1.7263659635,5.3869714891,6.7030629358,8.6523965045,1.4725041928,14.168329067,19.2916409215,1.3556359785,1.4138052785,3.6182363845,1126.8514431989,3.7969811987,121.0168593874
2349,2019-03-06,1.0,0.8845643521,3.7754975674,1.3381689518,7.8498894295,52.2627156126,6.5996461743,279.0888987174,22.6377708978,0.7604599735,4.1984077842,9.3210968598,14152.4988942946,70.2627156126,65.8299867315,6.5643520566,111.8089341,31.8549314463,1.0048651039,4.0945599292,1.7300309598,5.417691287,6.7100398054,8.6722689076,1.4753648828,14.2045997346,19.2834144184,1.357717824,1.4216718266,3.615656789,1127.8637770898,3.8032728881,121.0084033613
2350,2019-03-07,1.0,0.8872327211,3.8358619466,1.3424718304,7.8498802236,52.2784136279,6.6196433324,279.7977109396,22.7220299885,0.7619554609,4.2068139473,9.3713956171,14187.0020406353,69.9884659746,65.9315943572,6.5795404135,111.7647058824,31.7797888386,1.0074527549,4.0870375299,1.735249756,5.4272912785,6.7094312838,8.6824594091,1.4755567385,14.3300505723,19.3633217993,1.3581758495,1.4208144796,3.6183124834,1129.5803389229,3.8143021915,121.3734362523
2351,2019-03-08,1.0,0.8911067546,3.8856710034,1.3454820888,7.8499376225,52.3133131349,6.6476563892,281.5451791125,22.8488682944,0.7655052575,4.2281233292,9.4738905721,14318.9983960078,70.1595081091,66.4663161647,6.6050614864,111.1388344324,31.79023347,1.0090892889,4.0916057744,1.7428265906,5.4613259669,6.7234895741,8.7981643201,1.4729994653,14.5270005347,19.5687043308,1.3595615755,1.422562823,3.6286758154,1136.695776154,3.8319372661,121.546961326
2352,2019-03-11,1.0,0.8893632159,3.848719317,1.3423159018,7.8498754891,52.2509782995,6.6353610815,280.8964781217,22.8175026681,0.7669868374,4.2236748488,9.4096406973,14290.0035574529,69.8568125222,66.0416221985,6.5928495197,111.0903593027,31.7102454642,1.0093383138,4.0894699395,1.7394165777,5.4408573461,6.7246531483,8.6890786197,1.4667378157,14.3649946638,19.4276058342,1.3592138029,1.4172002846,3.6213091427,1134.1871220206,3.8237282106,121.3091426539
